DZ number,"NO. OF
SUBSCRIBERS",Baseline NRW,Current NRW,Cost Million $,Water Savings m3/year
DZ24 (Um Uthaina),47249,N/A,26 (48),0.4,2800000
"DZ32 (Yasmin) 
Test district 32G",43619,37 (40),32 (40),0.05,450000
"DZ10 (Abu Alanda) 
Test district 10G",27702,46 (62),32 (62),0.9,850000
"DZ27 (Tareq) 
Whole DZ",24665,47 (av. 48),11 (av. 50),7,1600000
"DZ01 (Marka) 
Test district 01B4",19985,20 (31),10 (50),0.4,300000
Madaba,18710,42 (26),28 (26),2.9,560000
"DZ45 (Abu Alanda) 
Test district 45L",16638,55 (48),34 (48),1.7,300000
"DZ33 (Yadoudeh)
Test district 33E",12215,37 (60),"35 (60), 39 
(3 supply cycles)",4.6,"NA 
(work in progress)"
"DZ34 (Wadi Essir Upper)
Test district 34C",9637,52 (110),30 (110),1.3,450000
